PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,AGE,TFGender,REPEAT,MISSSC,SKIPPING,TARDYSD,EXERPRAC,STUDYHMW,WORKPAY,WORKHOME,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST300Q01JA,ST300Q02JA,ST300Q03JA,ST300Q04JA,ST300Q05JA,ST300Q06JA,ST300Q07JA,ST300Q08JA,ST300Q09JA,ST300Q10JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,ST250Q05JA,ST251Q01JA,ST251Q02JA,ST251Q03JA,ST251Q04JA,ST255Q01JA,MATH_CANTIDAD,MATH_CAMBIO_REL,MATH_ESPACIO_FORMA,MATH_DATOS_INCERT,MATH_FORMULACION,MATH_PROCEDIMIENTOS,MATH_INTERPRETACION,MATH_RAZONAMIENTO,MATH_PROMEDIO,MATH_LOGRO
362.996,367.219,369.739,391.098,370.027,393.034,443.583,386.435,396.998,396.562,16.08,1,0,0,1,1,0,6,0,0,3,2,3,,3,3,,,,,,,,,,,4,3,3,3,,1.0,1.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,1,0,386.48269999999997,388.0897,356.6236,373.48290000000003,412.65559999999994,399.87680000000006,388.0722,398.3189,387.95029999999997,0
337.705,346.509,373.407,357.871,367.886,378.363,380.689,398.857,354.854,392.397,16.08,0,0,0,1,,2,3,4,10,4,,3,4,3,4,5,1,1,,1,,,,5,,2,1,2,3,,1.0,1.0,1.0,1.0,,1,1,0,1,0,1,2,3,3,1,387.59489999999994,328.8182,338.3539999999999,376.00609999999995,334.3492,352.0325,361.6531,358.28419999999994,354.63652500000006,0
650.542,685.037,673.6,698.58,649.607,650.737,655.703,620.353,628.125,649.806,15.75,1,0,0,0,0,0,10,0,5,,2,3,2,3,2,,,2,4,,1,,3,4,,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,1,0,0,2,2,2,662.5739000000001,664.7697000000001,659.5476999999998,657.3915000000001,662.1521,636.8646999999999,675.5361,672.3815999999999,661.4021625,1
427.517,372.949,441.047,417.432,407.967,368.525,365.557,374.06,411.012,432.51,16.08,1,0,0,0,1,7,8,6,8,1,4,3,2,3,,3,5,,4,,4,,4,,,4,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,0,2,2,2,405.26989999999995,414.7264,387.9912,402.61300000000006,394.512,408.78920000000005,462.75879999999995,410.4821,410.892825,0
414.298,438.5,393.046,401.895,407.854,436.965,424.814,439.723,429.147,449.276,16.33,0,0,0,1,0,6,8,2,9,,3,3,2,3,2,,,5,5,5,,5,5,,,3,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,1,1,2,2,2,3,444.6522,438.78360000000004,373.5095,378.7637,405.1371,432.08470000000005,440.697,417.30459999999994,416.36654999999996,0
473.529,487.979,446.826,428.462,414.33,434.769,457.807,415.696,448.72,406.212,16.0,0,0,0,0,1,0,6,0,2,,3,3,1,4,1,,,,,,,,,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,1,0,0,3,3,2,434.43940000000003,407.9942,372.76180000000005,425.92510000000004,440.88820000000004,449.13059999999996,438.76320000000004,413.5867,422.93614999999994,0
449.414,510.061,432.553,513.41,485.499,471.273,504.49,460.929,468.815,449.081,16.33,1,0,0,0,1,3,10,0,8,2,3,3,2,3,,4,,,,,2,4,4,5,,2,2,3,2,1.0,,1.0,,,,0,1,0,1,1,0,0,1,1,1,471.5496,450.13859999999994,428.1599,443.3092,456.74080000000004,457.3756,472.8103,454.5065000000001,454.3238125,0
449.93,446.096,404.004,433.928,441.342,444.486,459.384,414.482,452.521,436.99,15.5,1,0,0,1,0,6,9,0,10,1,4,3,2,4,,,4,5,,4,,,,5,3,4,2,3,2,1.0,,1.0,,1.0,1.0,1,1,1,1,1,2,0,3,2,3,452.2281,406.15119999999996,425.79350000000005,452.31149999999997,448.2371,455.4491000000001,440.2294,415.5442999999999,436.99302500000005,0
439.762,430.647,432.494,481.831,428.859,421.457,431.881,437.157,460.795,505.191,15.58,1,0,0,0,2,3,10,0,6,,2,3,3,2,3,5,,3,5,,,,4,5,,3,3,3,2,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,0,1,1,0,3,3,3,440.6103,474.45439999999996,439.94539999999995,460.9237,452.45679999999993,428.9134,466.2664,463.3607,453.3663875,0
320.092,377.3,389.971,335.598,319.112,404.513,327.127,353.812,301.126,367.938,15.83,0,0,1,0,1,5,10,1,7,1,3,3,2,,2,5,,,5,,,5,,3,3,2,3,4,3,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,1,0,1,2,2,318.8005,394.59909999999996,282.8305,322.4671,349.7733,307.7251,343.45,361.8712,335.1896,0
378.669,378.322,379.082,352.184,392.067,407.88,388.801,412.591,324.613,364.413,15.75,0,0,0,1,1,5,8,0,0,2,3,3,2,,2,,,,,,,,,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,,1,1,0,1,1,2,0,3,3,2,376.58949999999993,354.03630000000004,353.5285,345.34169999999995,342.7613,373.7548,366.52119999999996,359.3015,358.97935000000007,0
350.18,422.728,383.186,394.983,413.094,434.779,416.141,397.645,365.311,404.063,16.33,0,0,,0,0,8,8,6,9,4,3,4,1,,1,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,1,0,0,1,1,2,412.74830000000003,378.76110000000006,408.69040000000007,375.9480000000001,390.36690000000004,383.2709,386.55400000000003,373.96189999999996,388.7876875,0
374.455,359.411,367.315,386.85,381.941,374.829,367.899,344.985,378.987,352.692,16.17,1,0,0,1,0,8,10,1,0,4,2,,2,3,2,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1,1,1,0,0,0,0,1,1,1,339.0987,348.7252,338.3405,335.90979999999996,360.8482,353.4026,362.3093,322.2031,345.104675,0
298.244,330.087,320.392,245.772,279.96,300.071,327.448,319.961,321.273,336.426,16.0,1,0,0,0,,2,1,1,1,3,3,3,1,1,,,,2,2,2,,3,2,,,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,0,0,1,0,2,293.8026,233.03650000000002,367.3099,300.6106,267.1355,321.39109999999994,275.273,284.12489999999997,292.8355125,0
385.171,364.774,362.405,407.705,410.07,365.879,355.345,356.993,377.452,378.08,16.17,1,0,0,0,1,10,6,2,4,2,3,3,,3,2,,5,,5,5,5,5,,,,3,3,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,1,1,2,375.5289,394.11809999999997,338.45000000000005,319.8296,432.8745,328.73909999999995,349.3266,368.328,363.39934999999997,0
