PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,AGE,TFGender,REPEAT,MISSSC,SKIPPING,TARDYSD,EXERPRAC,STUDYHMW,WORKPAY,WORKHOME,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST300Q01JA,ST300Q02JA,ST300Q03JA,ST300Q04JA,ST300Q05JA,ST300Q06JA,ST300Q07JA,ST300Q08JA,ST300Q09JA,ST300Q10JA,ST270Q01JA,ST270Q02JA,ST270Q03JA,ST270Q04JA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST250Q01JA,ST250Q02JA,ST250Q03JA,ST250Q04JA,ST250Q05JA,ST251Q01JA,ST251Q02JA,ST251Q03JA,ST251Q04JA,ST255Q01JA,PV1MATH_target
440.712,438.988,429.237,472.673,417.582,445.992,402.086,422.375,390.177,452.803,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
250.389,251.368,272.704,324.564,269.291,267.265,294.298,279.097,262.2,257.647,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
351.183,339.434,365.809,318.178,370.256,369.358,373.524,335.792,373.582,313.371,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
405.793,429.575,415.135,395.507,334.413,396.177,354.356,369.866,394.943,422.485,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
382.321,348.262,403.164,384.906,399.658,348.588,366.17,381.04,372.245,329.373,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
303.184,305.478,298.072,276.51,309.429,312.514,314.518,273.363,334.77,322.169,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
391.235,438.542,413.092,370.235,372.79,388.692,405.225,410.858,450.969,408.003,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
235.561,262.321,311.664,312.646,199.591,226.008,290.642,255.302,238.511,268.801,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
370.965,363.429,380.259,378.105,385.53,395.76,387.944,370.211,386.162,359.273,15.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
422.924,558.838,496.292,498.748,453.507,548.062,460.794,495.618,523.205,459.03,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
375.457,394.427,403.768,356.337,369.0,382.048,410.463,341.03,398.765,375.375,15.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
385.804,403.525,459.877,395.035,439.39,421.054,401.212,454.02,438.621,388.122,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
382.495,425.865,341.628,328.04,395.884,383.317,351.105,314.683,394.561,355.749,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
401.665,427.474,472.86,377.378,468.921,424.597,441.822,428.242,474.791,475.017,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
326.691,287.146,316.184,320.155,337.293,325.735,334.869,306.774,303.444,362.238,15.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
257.541,242.178,208.42,235.872,222.128,257.901,235.179,293.046,193.51,236.714,16.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
284.593,353.963,273.9,343.415,376.731,380.05,334.231,379.967,299.454,363.606,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
410.026,434.628,412.719,410.953,400.719,431.195,445.912,372.758,398.991,379.918,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
378.391,418.391,397.049,384.448,404.625,418.934,398.778,411.812,353.235,384.929,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
542.414,556.131,466.265,481.357,482.87,511.992,530.729,516.664,494.825,491.156,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
504.45,479.686,463.838,501.629,467.315,461.422,458.094,444.885,468.219,443.683,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
459.903,424.591,442.093,367.876,397.719,394.304,404.107,430.435,438.869,428.562,16.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
272.547,286.975,251.163,317.03,310.405,323.814,307.21,303.383,295.157,259.783,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
393.295,418.577,354.432,427.403,410.059,389.227,391.69,391.177,420.969,396.923,15.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
392.755,419.429,357.575,367.789,385.811,352.671,371.277,348.403,395.212,460.027,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
363.155,353.244,387.572,341.109,387.492,368.421,366.155,349.997,339.948,359.28,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
308.874,241.066,291.816,251.744,276.353,251.152,280.918,237.403,260.555,277.775,15.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
409.079,370.074,388.015,379.311,430.488,375.281,386.159,388.036,390.979,385.363,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
364.287,383.53,319.916,341.739,396.672,366.321,359.452,384.593,397.092,358.378,15.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
251.884,273.033,253.297,321.024,267.959,212.798,196.38,201.853,272.971,269.537,15.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
431.974,371.851,372.665,409.234,420.177,359.232,385.825,395.518,418.06,407.711,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
496.298,459.224,510.052,464.804,500.937,507.349,484.052,502.044,493.375,525.633,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
414.408,382.181,389.502,356.343,376.48,381.531,358.598,324.456,378.405,362.117,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
